ID,Deadline,Category,Letter description,Interview description,Description_ES,Help,Help_ES,Sanitary Code Section
appliance_general_maintenance,30 Days,General Maintenance,,Appliances are not properly maintained,Los electrodomésticos no están adecuadamente mantenidos,"Any landlord-installed equipment, including dishwashers, washing machines, dryers, refrigerators, and garbage disposals, must be installed correctly and kept free of leaks, blocks, and other defects.","Cualquier equipo instalado por el dueño, incluidos os lavavajillas, lavadoras, secadoras, refrigeradores y trituradores de basura, debe instalarse correctamente y mantenerse libre de fugas, bloqueos y otros defectos.",410.351 (B)
bathroom_4ft_walls_porous,30 Days,Bathroom,,Walls are not waterproof and do not have smooth material up to 4 feet,Las paredes no son impermeables y no tienen material liso que llegue hasta 4 pies medidos desde abajo,"Walls must be nonabsorbent, waterproof, and smooth material up to 4 feet.","Las paredes deben ser de material no absorbente, impermeable y liso hasta 4 pies medidos desde abajo.",410.504(B) and (C)
bathroom_6ft_walls_porous,30 Days,Bathroom,,Walls above bathtubs with showers do not have a waterproof covering up to at least 6 feet,Las paredes de las bañeras con duchas no tienen una cubierta impermeable que llegue hasta 6 pies medidos desde abajo,"Walls above bathtubs with showers or shower stalls must have nonabsorbent, waterproof covering up to at least 6 feet.",Las paredes de las bañeras con duchas o cuartos de ducha deben tener una cubierta no absorbente e impermeable que llegue hasta 6 pies medidos desde abajo.,410.504(B) and (C)
bathroom_no_door,30 Days,Bathroom,,Shower stalls do not have waterproof covering up to at least 6 feet,"Los cuartos de ducha no tienen una cubierta impermeable que llegue hasta, al menos, 6 pies medidos desde abajo","Walls above bathtubs with showers or shower stalls must have nonabsorbent, waterproof covering up to at least 6 feet.",Las paredes de las bañeras con duchas o cuartos de ducha deben tener una cubierta no absorbente e impermeable que llegue hasta 6 pies medidos desde abajo.,410.504(B) and (C)
bathroom_rough_floor,30 Days,Bathroom,,Floor is not smooth or waterproof,El piso no es liso ni impermeable,"Floor must be smooth, nonabsorbent, and have a waterproof covering.","El piso debe ser liso, no absorbente y tener una cubierta impermeable.",410.504(A)
broken_appliance,30 Days,Kitchen,,At least one of the appliances that the landlord installed is not working,Al menos uno de los electrodomésticos que instaló el dueño no funciona,"All sinks, landlord-installed refrigerators and stoves, and gas- and oil-burning equipment must be in good working condition.","Todos los fregaderos, refrigeradores y estufas instalados por el dueño, y equipos de combustión de gas y aceite deben funcionar bien.",410.351
broken_bathroom_sink,5 days,Bathroom,,Bathroom sink is not working,El lavabo del baño no funciona,There must be a sink in the bathroom in good working condition.,Debe haber un lavabo en el baño que funcione bien.,410.150(A)(2) and (3)
broken_sewage,24 hours,Bathroom,,Sewage disposal system is not working,El sistema de eliminación de aguas residuales no funciona,There must be a working sewage disposal system.,Debe haber un sistema de eliminación de aguas residuales que funcione.,410.3
broken_toilet,24 hours,Bathroom,,No working toilet,El inodoro no funciona,There must be a working toilet.,Debe haber un inodoro que funcione.,"410.150(A)(1), 300"
broken_tub,5 days,Bathroom,,Tub or shower is not working,La bañera o la ducha no funciona,There must be a tub or shower in the bathroom in good working condition.,Debe haber una bañera o ducha en el baño que funcione bien.,
